book,asin,keyword,relevant,found,organic_rank,page,sponsored_seen,results_scanned,status
The Hollow Bell — Full Novel,B0HD52HGGZ,small town mystery,True,False,,,False,170,not_found_after_5_pages_170_organic_results
Second Draft,B0HFYQ9KGV,small town mystery,False,False,,,False,170,not_found_after_5_pages_170_organic_results
The Hollow Year,B0HFXF8MTP,small town mystery,True,False,,,False,170,not_found_after_5_pages_170_organic_results
The Absconding,B0HDWRVSXQ,small town mystery,False,False,,,False,170,not_found_after_5_pages_170_organic_results
The Correction,B0HFV8KCVL,small town mystery,True,False,,,False,170,not_found_after_5_pages_170_organic_results
The Hollow Bell — Novella,B0HD2H8586,small town mystery,True,False,,,False,170,not_found_after_5_pages_170_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,psychological mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,psychological mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,psychological mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,psychological mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,psychological mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,psychological mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,supernatural mystery,True,False,,,False,186,not_found_after_5_pages_186_organic_results
Second Draft,B0HFYQ9KGV,supernatural mystery,False,False,,,False,186,not_found_after_5_pages_186_organic_results
The Hollow Year,B0HFXF8MTP,supernatural mystery,True,False,,,False,186,not_found_after_5_pages_186_organic_results
The Absconding,B0HDWRVSXQ,supernatural mystery,False,False,,,False,186,not_found_after_5_pages_186_organic_results
The Correction,B0HFV8KCVL,supernatural mystery,False,False,,,False,186,not_found_after_5_pages_186_organic_results
The Hollow Bell — Novella,B0HD2H8586,supernatural mystery,True,False,,,False,186,not_found_after_5_pages_186_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,atmospheric mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,family secrets mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,family secrets mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,family secrets mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,family secrets mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,family secrets mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,family secrets mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,cold case mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,small town cold case mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,small town cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,small town cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,small town cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,small town cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,small town cold case mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,missing sister mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,missing sister mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,missing sister mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,missing sister mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,missing sister mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,missing sister mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,missing person mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,missing person mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,missing person mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,missing person mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,missing person mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,missing person mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,police procedural mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,police procedural mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,police procedural mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,police procedural mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,police procedural mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,police procedural mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,women sleuth mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,women sleuth mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,women sleuth mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,women sleuth mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,women sleuth mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,women sleuth mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,winter mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,winter mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,winter mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,winter mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,winter mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,winter mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,memory mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,memory mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Novella,B0HD2H8586,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
