book,asin,keyword,relevant,found,organic_rank,page,sponsored_seen,results_scanned,status
The Hollow Bell — Full Novel,B0HD52HGGZ,cold case mystery,True,False,,,False,57,not_found_after_5_pages_57_organic_results
Second Draft,B0HFYQ9KGV,cold case mystery,False,False,,,False,57,not_found_after_5_pages_57_organic_results
The Hollow Year,B0HFXF8MTP,cold case mystery,False,False,,,False,57,not_found_after_5_pages_57_organic_results
The Absconding,B0HDWRVSXQ,cold case mystery,False,False,,,False,57,not_found_after_5_pages_57_organic_results
The Correction,B0HFV8KCVL,cold case mystery,False,False,,,False,57,not_found_after_5_pages_57_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,reality bending mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,memory erasure mystery,False,False,,,False,54,not_found_after_4_pages_54_organic_results
Second Draft,B0HFYQ9KGV,memory erasure mystery,False,False,,,False,54,not_found_after_4_pages_54_organic_results
The Hollow Year,B0HFXF8MTP,memory erasure mystery,True,False,,,False,54,not_found_after_4_pages_54_organic_results
The Absconding,B0HDWRVSXQ,memory erasure mystery,False,False,,,False,54,not_found_after_4_pages_54_organic_results
The Correction,B0HFV8KCVL,memory erasure mystery,False,False,,,False,54,not_found_after_4_pages_54_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,New England folklore mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
Second Draft,B0HFYQ9KGV,New England folklore mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Year,B0HFXF8MTP,New England folklore mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Absconding,B0HDWRVSXQ,New England folklore mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
The Correction,B0HFV8KCVL,New England folklore mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,archive conspiracy mystery,False,False,,,False,65,not_found_after_5_pages_65_organic_results
Second Draft,B0HFYQ9KGV,archive conspiracy mystery,False,False,,,False,65,not_found_after_5_pages_65_organic_results
The Hollow Year,B0HFXF8MTP,archive conspiracy mystery,False,False,,,False,65,not_found_after_5_pages_65_organic_results
The Absconding,B0HDWRVSXQ,archive conspiracy mystery,False,False,,,False,65,not_found_after_5_pages_65_organic_results
The Correction,B0HFV8KCVL,archive conspiracy mystery,True,False,,,False,65,not_found_after_5_pages_65_organic_results
